comment,label,
S? ch?t qu?n thì Ok luôn.,POS,
"Vay ??p k?,tu van nhiet tinh.",POS,
Y hình.,POS,
Nt ko tr? l?i.,NEG,
Châ?t l???ng v??a v??i gia? tiê?n.,POS,
S? ?ng h? shop dài.,POS,
Hàng ch?t l??ng h?n giá s?n ph?m nhak m?i ng??i.,POS,
Áo rách ntn ko hi?u ph?i m?c ntn luôn.,NEG,
"nh?ng c?ng phù h?p v?i giá ti?n, m?c v?n ok!",POS,
?ô? m??c v??a.Thun h?i ôm dê? thâ?y bu?ng.??.,POS,
Ch?n màu này l?y màu kia.,NEG,
"hàng t??ng ??i ?n,mình khá hài lòng.",POS,
Inbox ko thèm tr? l?i.,NEG,
Mình mua 2 chai v? tàng tr? d?n vì lo?i này v?a t?y s?ch v?a không d? gây m?n nh? d?u t?y trang.,POS,
M?t uy tín.,NEG,
Màu ngoài ko gi?ng trong ?nh nh?ng ch?t l??ng khá ok v?i giá.,POS,
R?t ?ng.,POS,
"shop giao hàng nhanh, g?i ?úng màu, áo gi?ng hình, m?c dù ch?t v?i ko ??p nh? mong mu?n nh?ng v?n cho shop 5*.",POS,
"Shop ph?c v? r?t t?t, Th?i gian giao hàng r?t nhanh.",POS,
giày ??p l?m . giao hàng lâu quá mun ?iên.,POS,
Shop giao siêu nhanh.,POS,
Giao hàng nhanh.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n R?t ?áng ti?n Th?i gian giao hàng t?m ???c ?áng ??ng ti?n.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
V?a ý.,POS,
"4 qu?n size L nh?ng l?i b? cái to cái bé, còn v?i giá ti?n nvay thì c?ng k mong ch?t ??p h?n.",POS,
Shop ph?c v? r?t t?t Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh Th?i gian giao hàng r?t nhanh.,POS,
Nh?ng ko sao tks shop.,POS,
Ch?t l??ng sp t?t nh?ng giao hàng ch?m onl c?ng ch?ng tr? l?i gì.,POS,
Vài thun r?t m?ng ko fai len.,NEG,
?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t.??????.,POS,
"?óng gói s?n ph?m ch?c ch?n , shop giao hàng nhanh , nh?n ngay 20/10 ?? v? sp thì ch?t v?i c?ng ?c, h?p m?c mùa thu.áo ??p nh?ng mà shop nên ki?m tra k? Sp ?i ? ?? áo thì c? vài ch? l?i có v?t b?n xong l?i có màu xanh xanh ? g?n ?uôi áo ?? ch?a k? lúc m? hàng ra thì b? ngay cái d?m suýt ?âm vào tay??.",POS,
Shop giao hàng c?c nhanh lun tr?a hom qua ??t mà tr?a nay ?ã giao.,POS,
Thêm tin t??ng vào shoppe.,POS,
Áo v?i ??p m?n mát ?.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i; Th?i gian giao hàng r?t nhanh.,POS,
Ch? shop nhi?t tình.,POS,
R?t ?áng ti?n.,POS,
S?n ph?m r?t ??p.,POS,
H?i thô.,NEG,
Va?i râ?t mo?ng.,NEG,
Hàng y nh? hình.,NEU,
??p l?i r?.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?ng s? ?ng h? shop dài giao hàng nhanh.,POS,
"Quay l?i s?a ?ánh giá sau khi tung t?ng m?c váy di?n muôn n?i ~ váy ch?t k có gì ?? chê, tuy?t v?i, dày d?n, m?c ?úng ki?u chùm chân mình thích, che ???c mông, c?p cao, m?c lên eo ót v?i c? chân dài c? mét :)) tuy?t v?i cho 1 chi?c váy 159k.",POS,
"Ao m?c ??p, ch?t ??p . th?i gian giao hàng r?t nhanh.",POS,
"Giao hàng r?t nhanh, aó ??p, nói chung r?t hài lòng.",POS,
"??t xanh ??m mà giao m?u xám , th?t v?ng quá,màu th?y c? xèm.",NEG,
Qu? ko ??p Ch?t l??ng s?n ph?m t?m ???c.,NEG,
"Áo ch?t ??p, shop ph?c v? t?t.",POS,
?óng gói s?n ph?m ch?c ch?n.,POS,
Tôi r?t hài lòng v? s?n ph?m.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i r?t ?ng ý ?? ??p.,POS,
Shop lam ?n không uy tín.. s?m ph?m thì d?m.. chát thì ch?n.,NEG,
Hàng r?t ok ??.,POS,
CL phù h?p giá ti?n.,NEU,
"?úng hình ?nh, ??p.",POS,
M?u c?ng ?a d?ng.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
H?t hàng thì ph?i báo v?i khách ch? ??ng này v?n giao.,NEG,
"Ban ??u mình ngh? là ren m?ng, nh?ng nh?n ?c thì th?y ren ??p h?n mình t??ng t??ng.",POS,
"??p, v?a ý...",POS,
Tuy?t ? ... giày nh? êm.,POS,
?úng m?i 1 màu.,NEG,
S?n ph?m ch?t l??ng .,POS,
"C? áo b? rách shop nên ktra k? trc khi giao, mình 40kg cao 1,55m mà m?c h?i ch?t.",NEG,
?óng gói k?.,POS,
Gói hàng c?n th?n.,POS,
C?m ?n shop nhìu.,POS,
"?ây là l?n th? 2 mua sp c?a shop , giày ??p , cách ph?c v? t?t ?? s? ?ng h? shop nhi?u n?a.",POS,
Son lên màu ??p không b? khô c?ng và l? vân môi nh? màu 12 R?t ?áng ti?n.,POS,
C?m ?n shop nhé.,POS,
Gi?ng hình mà v?i h?i c?ng b?n ?k.,POS,
"Ch?t áo ??p l?m, yêu shop.",POS,
Qu?n c?a shop quá ??p luôn.,POS,
"Minh lay sz l?n nh?t cho r?ng roi , sz xxl mà nhìn thay bé h?n qu?n c? , ch?ng mình 72kg , sp ch?t thì nhìn t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n.",POS,
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t nhanh R?t ?áng ti?n.,POS,
Ch?t thì ok nh?ng c? áo ko gi?ng hình.c? áo ko r?ng mà ôm.,NEU,
??t 2 qu?n dài mà ?óng gói cho 1 qu?n ng?.,NEG,
Khuy?n khích cho 5*.,POS,
"Nét ch? không ???c rõ, sp có mùi h?i kinh.",NEG,
M??c phô?i v??i chân va?y hay jean ?ê?u ?e?p.,POS,
Nh?ng GHTK thu tròn 110.000 ?.,NEG,
"Không gi?ng hình cho l?m nh?ng ch?t l??ng c?ng OK ,Mua 3 mà m?i sp này là ?c .",NEU,
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.sácg hay.,POS,
"?óng gói sp ch?c ch?n, giao hàng r?t nhanh.",POS,
Ch?t l??ng s?n ph?m kém không gi?ng nh? mô t?.,NEG,
?áng ti?n.,POS,
Váy m?c siêu xinh.,POS,
Th?i gian giao hàng r?t nhanh hàng y hình.,POS,
V?i thì r?t ??p.,POS,
Ti?n nào c?a náy.,NEU,
Gooddd.,POS,
Áo r?ng h?n hình nhi?u.,NEG,
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
kem bên trong là màu tr?ng khác v?i kem ngày là màu vàng nh? .th?i gian giao hàng ch?m.,NEU,
Áo from r?ng nh? ?nh.,POS,
Ch?t li?u v?i ?n.nh?ng h?i r?ng.,NEU,
Ship ko ?úng màu.,NEG,
vãi n? dày . nóng.,NEG,
"Shop ph?c v? r?t t?t, ch?t l??ng sp ok.",POS,
"ngon ??y, nh?ng ?ang ?n thì ?n ph?i c?ng thun.",NEG,
Khá ok ?? s? ?ng h? shop ti?p.,POS,
??p l?m nha.,POS,
Áo v?a quá.,POS,
Th?i gian giao hàng nhanh.,POS,
Áo ??p l?m b ?i.,POS,
Màu thì ko th?c s? gi?ng trong hình.,NEG,
Ch?t l??ng v?i kém ko nh? hình .,NEG,
?ã quay Video và ch?p ?nh nh?ng shop không ph?n h?i.,NEG,
"Qu?n tho?i mái, v?a v?n, ??p Shop ph?c v? r?t t?t.",POS,
"V?n chuy?n hàg k nh?t lót vào c?p, nên c?p b? méo m?t dág.",NEG,
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.,NEG,
"Ngày qua flash sale 39k/ chai, h?t flash lên 55k xong 50k.",NEU,
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
Ch?t dc.,POS,
"Ch?t l??ng s?n ph?m tuy?t v?i, h?p v?i giá ti?n, s? siêu thích, màu random nh?ng ??p l?m ?!",POS,
"M?t ong loãng, ko ??c sánh l?m.",NEG,
S? ti?p t?c ?ng h? shop dài lâu!,POS,
Dép ?i êm và m?m.,POS,
"Váy ??p, v?i thì mình th?y pha nilon nên h?i nóng.",NEU,
Ch?t t?m dc t??ng s?ng giá ti?n.,POS,
Giao hàng và ch?m sóc t?n tình.,POS,
giá t?t. nh?ng giao hàng ch?m quá. không có s? ?t liên h? khi c?n g?p.,NEU,
Shop cho doi tra ok.,NEU,
Thâ?t s?? mi?nh qua? ?ng cho 1 sp re? ma? châ?t l???ng .,POS,
L?c ?n nh?ng hi v?ng shop ?óng hàng k? h?n.,POS,
"V?i m?ng, thô h?n mình t??ng t??ng.",NEU,
Giao hàng nhanh.,POS,
Th?i gian giao hàng nhanh Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Shop ph?c v? khá t?t.,POS,
"áo màu s?c t??i sáng, v?i ch?t ?.",POS,
Shop r?t thái ?? v?i khách hàng.,NEG,
b? ch?t ng?n.,NEG,
Shop ph?c v? r?t t?t Th?i gian giao hàng r?t nhanh Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n.,POS,
???c t?t.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
Ch?t l??ng sp qá t?.,NEG,
Ch? shop nhi?t tình d? th??ng.,POS,
"Giao ha?ng nhanh,.",POS,
?àn nhìn c?ng l?m ??????.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i qu?n h?i m?ng ?.,POS,
"Ch?t l??ng s?n ph?m r?t kém Shop ph?c v? r?t kém R?t không ?áng ti?n,Shop phu?c vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lo?i gi? het.",NEG,
Nh?ng khá ok r?i.,POS,
Hihi ?ng l?m ? giày ??p l?m nha m.n ?i êm mà d? ph?i ?? c?c.,POS,
Ch? ra gì c? .ch?t l??ng kém.,NEG,
Gui sai m?t sp còn l?i ch?t l??ng t?t.,NEU,
Ch?t r?t oke.,POS,
"R?t ?ng, m?c tho?i mái mà ch?t v?i r?t thích.",POS,
Nh?ng mà shop nói có t?ng kèm dây ?àn mà mình nh?n ???c không có ?.,NEG,
Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh r?t ?ng.,POS,
R?t ?ng ý ;) s? ti?p t?c mua ?? ?ng h? shop.,POS,
Ch? nh?n hàng h?t c? h?n ngâm xà bông chà mãi v?n k s?ch.,NEG,
"Ai thik mua,cho?n size l??n h?n 2size ok h?n.",POS,
??p hút h?n .,POS,
Giao hàng c?ng nhanh ^^!,POS,
Giá còn r?.,POS,
?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
"S?n ph?m b? ?u,không giòn và c?ng không có th?i h?n s? d?ng trên bao bì.",NEG,
Không t?t ch?t li?u s?u.,NEG,
"Ch?t l??ng s?n ph?m tuy?t v?i, shop này uy tín quá.",POS,
V?i kate thun m?ng nh? mát.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.?óng gói s?n ph?m r?t ??p và ch?c ch?n.shop ph?c v? r?t t?t.,POS,
Ch?t v?i ???c.,POS,
"S?n ph?m ??p ,?n .ch?c ch?n mà l?i r? h?n so vs mình mua ngoàí shop ??t mà m?c ch?a ?c 1 hôm ?ã ??t khuy.",POS,
"Áo s? mi ??p, gi?ng hình.",NEU,
"?óng gói ??p, giao ?úng hàng, sp ch?t l??ng, giá t?t... r?t hài lòng shop ?i, s? ti?p t?c ?ng h? nè.",POS,
Tuy nhiên mình mua 2 cái thì cái size L ? tay áo b? vi?t s? màu xanh lên ch? tay áo mình gi?t ko ra.,NEG,
"Shop ?óng gói c?n th?n, có kèm 1 t? thi?p và 1 t? r?i gi?i thi?u n?a. ??.",POS,
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?iO.,POS,
Ko ?ng y lam.,NEG,
Shoppe nên coi l?i ch?n ng??i bán cho c9s kinh nghi?m chút.,NEG,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
Gi? ch?ng bi?t làm gì v?i cái áo ?ó.,NEG,
Ncl r?t ?ng.,POS,
Th?i gian giao hàng r?t nhanh.,POS,
"Kem th?m th?u r?t nhanh, thoa xong sáng d?y có c?m giác c?ng da và m?n h?n , còn vi?c ch?ng lão hóa thì ph?i xài h?t m?i bi?t k?t qu?.",POS,
"ch?t l??ng ok,m?i t?i b?ng r?ng quá.l?i ph?i s?a.",NEU,
Shop ph?c v? r?t t?t.,POS,
Ch?t áo m?ngg.,NEU,
Ch?t l??ng s?n ph?m tuy?t v?i .?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
"?óng gói s?n ph?m t?t, c?n thêm h?p ??ng s? t?t h?n.",POS,
ch?t li?u v?i thì c?ng t?m ???c. chán cái ???ng ch? 1 cái thì b?c ch? ? túi còn 1 cái máy c? vào chun.,NEG,
"?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n , áo khá to so v?i mình, nên b?n nào mu?n mua size L mà t??ng ng??i nh? bé thì nên ch?n soze M nha : , ???c t?ng móc khóa hình Jinmin thích l?mm ><.",POS,
"Hàng chu?n, uy tín.",POS,
Mua 2 chai mà m?i x?t dc 1 l?n thì h? m?t cái n?p!!,NEU,
Th?i gian giao hàng r?t nhanh.,POS,
??t hàng ko giao hàng là Sao v?y á.,NEG,
H?i m?ng :)) k nh? mong ??i.,NEG,
?ng h? shop ngàn sao luôn nè ????.,POS,
Hic.,NEG,
"Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n, ch? s nhi?t tình, vui tính.",POS,
Giao hàng nhanh.,POS,
Ch?t l??ng khá t?t.,POS,
V?i dày và co giãn t?t.,POS,
Nh?ng n?u màu h?ng t??i thì ok !,POS,
V?i r?t ??p.,POS,
Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Shop ph?c v? khá t?t Th?i gian giao hàng h?i ch?m.,NEU,
Áo này dày h?n và ch?t ??p h?n cái màu tr?ng mk mua.,POS,
"Mình 50kg b?u 4 tháng mua size 2XL mà m?c v?a zin,dáng qu?n ??p,m?y n?a b?ng to tí ph?i mua size to h?n thôi :).",NEU,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
N? ?m và dày.,POS,
Có chút tr?c tr?c nh?ng s?a l?i thì v?n ??p.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
